campaign_name,start_date,end_date,budget,roi,type,target_audience,channel,conversion_rate,revenue,Categoría,Coincidencias,campaign_name_lower
Customer-focused fault-tolerant help-desk,2022-10-08,2023-12-25,39585.98,0.11,podcast,B2B,promotion,0.99,889037.24,Usuario/Cliente,['PRIMARY: customer'],customer-focused fault-tolerant help-desk
Face-to-face 6thgeneration portal,2023-05-08,2023-09-05,99535.21,0.59,social media,B2B,paid,0.15,142678.88,Otros,[],face-to-face 6thgeneration portal
Ameliorated encompassing capacity,2023-02-19,2024-07-28,44466.83,0.15,webinar,B2B,promotion,0.31,504690.83,Otros,[],ameliorated encompassing capacity
Digitized optimizing capability,2022-08-25,2023-10-12,70841.82,0.22,podcast,B2C,paid,0.76,406913.89,Otros,[],digitized optimizing capability
Triple-buffered zero tolerance circuit,2023-04-27,2024-03-18,62752.63,0.3,podcast,B2C,paid,0.32,307410.29,Otros,[],triple-buffered zero tolerance circuit
Open-source background firmware,2023-07-04,2024-04-09,97748.2,0.73,email,B2C,referral,0.96,543371.38,Otros,[],open-source background firmware
Expanded global matrices,2022-11-28,2024-04-16,67048.32,0.78,webinar,B2B,organic,0.42,246285.96,Otros,[],expanded global matrices
Organized regional implementation,2023-02-13,2023-12-31,34303.92,0.13,webinar,B2C,paid,0.48,420804.86,Otros,[],organized regional implementation
Realigned stable parallelism,2023-03-31,2024-01-18,52871.17,0.19,webinar,B2B,promotion,0.53,611779.7,Otros,[],realigned stable parallelism
Networked executive knowledgebase,2022-10-18,2023-08-19,53678.65,0.47,email,B2B,promotion,0.24,129992.9,Otros,[],networked executive knowledgebase
Multi-tiered neutral standardization,2023-05-09,2023-11-26,21921.72,0.74,webinar,B2C,organic,0.55,721273.96,Procesos/Metodología,[],multi-tiered neutral standardization
Virtual cohesive orchestration,2023-03-11,2023-08-21,98706.34,0.69,email,B2C,promotion,0.92,499658.4,Otros,[],virtual cohesive orchestration
Progressive 4thgeneration policy,2022-10-06,2024-04-20,16290.7,0.49,webinar,B2C,promotion,0.99,172899.7,Otros,[],progressive 4thgeneration policy
Monitored impactful installation,2023-07-28,2023-11-25,24936.91,0.9,webinar,B2B,promotion,0.37,541332.72,Otros,[],monitored impactful installation
Automated responsive initiative,2022-08-30,2024-05-12,20401.62,0.6,podcast,B2B,paid,0.28,875354.92,Tecnología/IT,['SECONDARY: automated'],automated responsive initiative
Function-based grid-enabled conglomeration,2022-12-06,2024-05-03,33675.46,0.18,email,B2B,promotion,0.89,203504.87,Otros,[],function-based grid-enabled conglomeration
Polarized dynamic analyzer,2023-06-27,2024-07-26,87618.4,0.97,podcast,B2C,promotion,0.5,274321.91,Otros,[],polarized dynamic analyzer
Centralized methodical alliance,2023-07-19,2024-02-11,33524.69,0.6,podcast,B2C,paid,0.19,970610.35,Otros,"['SECONDARY: methodical', 'PATTERN: \\bmethod\\w*\\b']",centralized methodical alliance
Visionary directional open architecture,2023-05-02,2024-05-29,86623.59,0.26,webinar,B2C,organic,0.23,107133.96,Arquitectura/Infraestructura,['PRIMARY: architecture'],visionary directional open architecture
Reduced static functionalities,2023-03-09,2024-01-08,8473.58,0.29,social media,B2B,organic,0.93,840891.99,Otros,[],reduced static functionalities
Sharable upward-trending initiative,2022-10-23,2024-04-09,20951.3,0.58,social media,B2C,organic,0.24,994306.41,Otros,[],sharable upward-trending initiative
Front-line eco-centric open system,2023-06-16,2024-07-06,36331.8,0.9,social media,B2B,promotion,0.76,622639.37,Tecnología/IT,[],front-line eco-centric open system
Managed bandwidth-monitored complexity,2023-03-21,2024-04-04,19401.94,0.92,email,B2B,organic,0.25,617007.9,Red/Conectividad,['SECONDARY: bandwidth'],managed bandwidth-monitored complexity
Re-engineered non-volatile algorithm,2023-03-04,2023-11-06,59532.42,0.7,webinar,B2B,paid,0.9,773688.33,Otros,[],re-engineered non-volatile algorithm
Integrated secondary migration,2023-01-04,2024-04-26,98089.92,0.33,webinar,B2C,paid,0.22,522231.68,Otros,[],integrated secondary migration
Horizontal 6thgeneration model,2022-11-19,2023-10-29,16308.37,0.65,webinar,B2C,promotion,0.37,511344.87,Otros,[],horizontal 6thgeneration model
Robust optimizing projection,2023-06-12,2023-11-06,36824.24,0.93,email,B2B,promotion,0.42,971476.94,Otros,[],robust optimizing projection
Right-sized scalable open architecture,2023-02-06,2023-12-24,62406.71,0.3,webinar,B2B,promotion,0.67,123917.89,Arquitectura/Infraestructura,['PRIMARY: architecture'],right-sized scalable open architecture
Optional mission-critical project,2022-08-06,2024-07-22,96713.47,0.92,podcast,B2C,paid,0.63,995340.62,Otros,[],optional mission-critical project
Focused responsive open architecture,2022-11-09,2024-01-28,91490.92,0.93,webinar,B2C,referral,0.95,38601.99,Arquitectura/Infraestructura,['PRIMARY: architecture'],focused responsive open architecture
Reverse-engineered static infrastructure,2023-07-26,2024-05-29,12246.32,0.48,email,B2B,referral,0.44,987205.29,Arquitectura/Infraestructura,['PRIMARY: infrastructure'],reverse-engineered static infrastructure
Monitored grid-enabled productivity,2023-01-08,2024-06-07,29724.33,0.61,podcast,B2C,promotion,0.27,961419.64,Otros,[],monitored grid-enabled productivity
Cross-group foreground ability,2023-03-11,2023-11-27,32343.79,0.99,social media,B2B,paid,0.5,55043.59,Otros,[],cross-group foreground ability
Switchable mobile toolset,2023-06-25,2024-04-16,59590.26,0.83,podcast,B2B,referral,0.99,574709.76,Otros,[],switchable mobile toolset
Front-line mobile ability,2022-11-12,2023-08-18,77582.36,0.65,podcast,B2C,promotion,0.47,428175.9,Otros,[],front-line mobile ability
Optional systemic adapter,2022-12-15,2023-12-16,23477.6,0.26,email,B2B,paid,0.34,219063.7,Otros,[],optional systemic adapter
User-friendly responsive parallelism,2022-10-31,2024-05-08,9666.13,0.86,email,B2C,referral,0.65,53039.92,Usuario/Cliente,['PRIMARY: user'],user-friendly responsive parallelism
Mandatory grid-enabled throughput,2023-06-07,2023-08-06,63938.71,0.0,email,B2C,referral,0.49,890569.79,Otros,[],mandatory grid-enabled throughput
Phased dynamic throughput,2023-07-07,2023-12-31,44248.38,0.4,webinar,B2B,paid,0.65,313395.54,Otros,[],phased dynamic throughput
Pre-emptive mobile Local Area Network,2023-05-07,2024-02-13,97083.41,0.77,podcast,B2B,promotion,0.25,378325.1,Red/Conectividad,['PRIMARY: network'],pre-emptive mobile local area network
Decentralized zero-defect superstructure,2022-10-18,2023-10-03,18706.92,0.58,webinar,B2B,referral,0.44,554902.17,Otros,[],decentralized zero-defect superstructure
Distributed grid-enabled focus group,2022-10-10,2023-10-12,92742.9,0.55,webinar,B2B,organic,0.33,755802.41,Otros,[],distributed grid-enabled focus group
Monitored global leverage,2023-03-10,2024-04-26,14418.29,0.47,email,B2B,promotion,0.67,683612.91,Otros,[],monitored global leverage
Secured exuding hardware,2022-08-17,2024-04-13,55644.28,0.41,podcast,B2C,referral,0.68,764211.61,Tecnología/IT,['PRIMARY: hardware'],secured exuding hardware
Re-engineered content-based projection,2023-06-23,2024-05-03,49973.41,0.32,podcast,B2B,promotion,0.4,305097.18,Otros,[],re-engineered content-based projection
Compatible explicit hierarchy,2022-10-06,2024-05-27,52495.87,0.5,webinar,B2B,promotion,0.56,375558.47,Otros,[],compatible explicit hierarchy
Reduced holistic groupware,2023-05-22,2023-08-13,22905.15,0.85,podcast,B2C,paid,0.2,923669.92,Otros,[],reduced holistic groupware
Organic national application,2023-03-01,2023-11-20,70871.65,0.5,email,B2C,organic,0.46,193601.52,Otros,[],organic national application
Configurable multi-tasking projection,2022-12-07,2023-08-07,91280.14,0.71,social media,B2B,paid,0.24,764420.89,Otros,[],configurable multi-tasking projection
Open-source zero-defect groupware,2022-08-22,2024-02-26,43142.37,0.65,webinar,B2C,referral,0.9,770745.63,Otros,[],open-source zero-defect groupware
Extended multi-tasking focus group,2023-07-13,2023-11-11,90807.23,0.44,email,B2B,referral,0.76,153622.7,Otros,[],extended multi-tasking focus group
Reverse-engineered 4thgeneration adapter,2023-01-01,2024-04-15,32622.8,0.65,podcast,B2C,promotion,0.3,568194.2,Otros,[],reverse-engineered 4thgeneration adapter
Open-source heuristic methodology,2023-06-04,2023-10-18,25277.14,0.34,email,B2C,organic,0.92,49060.75,Procesos/Metodología,"['PRIMARY: methodology', 'PATTERN: \\bmethod\\w*\\b']",open-source heuristic methodology
Diverse interactive functionalities,2023-06-07,2023-10-09,84489.59,0.13,social media,B2B,promotion,0.83,786673.54,Otros,[],diverse interactive functionalities
Ameliorated leadingedge moratorium,2022-12-17,2024-06-11,28928.55,0.6,email,B2C,referral,0.12,130083.15,Otros,[],ameliorated leadingedge moratorium
Distributed web-enabled matrix,2023-01-21,2024-03-22,9774.56,0.34,email,B2B,paid,0.6,918275.49,Otros,[],distributed web-enabled matrix
Horizontal full-range complexity,2022-08-06,2023-08-31,59889.62,0.83,webinar,B2C,referral,0.85,142978.25,Otros,[],horizontal full-range complexity
Re-engineered optimizing definition,2023-04-18,2023-10-09,90656.1,0.94,podcast,B2C,organic,0.56,886308.94,Otros,[],re-engineered optimizing definition
Horizontal regional implementation,2023-05-31,2024-02-21,84627.74,0.95,podcast,B2C,paid,0.75,731870.88,Otros,[],horizontal regional implementation
Robust eco-centric service-desk,2023-03-03,2023-12-01,61961.66,0.9,webinar,B2B,organic,0.81,794739.96,Productos/Servicios,['PRIMARY: service'],robust eco-centric service-desk
Expanded radical array,2023-07-27,2024-02-11,67729.9,0.27,webinar,B2B,promotion,0.44,911554.74,Otros,[],expanded radical array
Cross-group interactive matrix,2022-12-02,2023-09-18,53669.55,0.34,podcast,B2B,paid,0.22,650057.57,Otros,[],cross-group interactive matrix
Digitized full-range moderator,2023-05-07,2023-12-14,45957.86,0.6,podcast,B2B,referral,0.57,941547.97,Otros,[],digitized full-range moderator
Programmable dedicated Graphical User Interface,2023-01-28,2023-10-09,77240.69,0.15,email,B2C,promotion,0.93,546902.83,Usuario/Cliente,['PRIMARY: user'],programmable dedicated graphical user interface
Total secondary attitude,2023-02-13,2024-03-01,27897.65,0.37,podcast,B2C,referral,0.36,746509.64,Otros,[],total secondary attitude
User-friendly coherent software,2023-04-01,2024-02-20,81083.98,0.2,podcast,B2C,paid,0.9,95920.24,Usuario/Cliente,['PRIMARY: user'],user-friendly coherent software
Grass-roots global attitude,2022-11-20,2024-04-16,81664.5,0.13,social media,B2C,paid,0.3,862829.84,Otros,[],grass-roots global attitude
Decentralized incremental synergy,2023-05-18,2023-08-24,78742.39,0.81,social media,B2C,referral,0.79,10253.3,Otros,[],decentralized incremental synergy
Virtual executive alliance,2022-10-13,2024-05-05,1580.69,0.46,podcast,B2B,organic,0.17,238785.82,Otros,[],virtual executive alliance
Distributed content-based service-desk,2023-06-24,2024-05-10,3889.42,0.32,social media,B2C,promotion,0.2,769703.69,Productos/Servicios,['PRIMARY: service'],distributed content-based service-desk
Customizable real-time toolset,2023-07-31,2024-05-07,45499.9,0.1,social media,B2C,organic,0.19,292766.77,Otros,[],customizable real-time toolset
Cross-group discrete implementation,2023-07-02,2024-03-10,98544.63,0.76,podcast,B2C,referral,0.95,803643.85,Otros,[],cross-group discrete implementation
Secured object-oriented contingency,2023-01-22,2023-09-26,96004.64,0.6,podcast,B2B,promotion,0.33,593146.14,Otros,[],secured object-oriented contingency
Re-contextualized needs-based function,2022-10-09,2023-10-23,23192.5,0.47,webinar,B2B,referral,0.53,278642.2,Otros,[],re-contextualized needs-based function
Face-to-face optimal capacity,2022-08-28,2023-11-29,28757.86,0.31,email,B2C,referral,0.3,215374.16,Otros,[],face-to-face optimal capacity
Assimilated analyzing definition,2023-06-19,2023-12-02,97448.7,0.27,email,B2C,paid,0.51,128880.88,Otros,[],assimilated analyzing definition
Diverse homogeneous approach,2022-10-31,2024-04-18,58194.33,0.84,social media,B2C,organic,0.58,209309.17,Otros,[],diverse homogeneous approach
Persevering non-volatile utilization,2023-07-18,2024-02-12,36038.7,0.6,webinar,B2B,referral,0.5,257457.4,Otros,[],persevering non-volatile utilization
Down-sized exuding website,2023-03-29,2023-12-29,53597.41,0.96,podcast,B2C,paid,0.68,919259.71,Otros,[],down-sized exuding website
Persevering zero administration interface,2023-03-27,2023-10-25,1052.57,0.37,email,B2C,promotion,0.44,932323.35,Otros,[],persevering zero administration interface
Re-contextualized global projection,2023-04-28,2023-10-20,81795.53,0.9,webinar,B2C,organic,0.98,708435.72,Otros,[],re-contextualized global projection
Advanced optimizing portal,2023-02-08,2023-08-26,97675.33,0.55,email,B2B,organic,0.77,961689.96,Otros,[],advanced optimizing portal
Total client-driven functionalities,2023-03-26,2024-06-06,32997.59,0.19,podcast,B2B,paid,0.21,144974.37,Usuario/Cliente,['PRIMARY: client'],total client-driven functionalities
Grass-roots reciprocal core,2022-11-07,2024-01-19,85249.47,0.97,social media,B2B,paid,0.9,34642.19,Otros,[],grass-roots reciprocal core
Self-enabling reciprocal algorithm,2022-11-01,2024-07-29,8645.67,0.12,email,B2B,paid,0.37,961551.85,Otros,[],self-enabling reciprocal algorithm
Fundamental holistic policy,2023-01-09,2024-07-29,7952.59,0.3,email,B2C,organic,0.64,632738.63,Otros,[],fundamental holistic policy
Automated background intranet,2023-06-24,2023-12-01,97730.37,0.48,webinar,B2C,organic,0.34,901131.26,Tecnología/IT,['SECONDARY: automated'],automated background intranet
Diverse modular productivity,2023-01-23,2023-08-19,6626.65,0.28,email,B2C,referral,0.78,650555.67,Otros,[],diverse modular productivity
Down-sized attitude-oriented conglomeration,2022-08-23,2024-06-25,59892.4,0.4,email,B2C,referral,0.37,912250.59,Otros,[],down-sized attitude-oriented conglomeration
Universal 24hour process improvement,2022-12-25,2024-07-02,37166.31,0.28,webinar,B2B,referral,0.9,572808.65,Procesos/Metodología,[],universal 24hour process improvement
Fundamental optimal secured line,2023-07-26,2024-02-04,56570.94,0.91,podcast,B2C,referral,0.96,83447.66,Otros,[],fundamental optimal secured line
Reverse-engineered responsive migration,2023-02-10,2023-09-23,91764.9,0.34,webinar,B2C,organic,0.61,889379.44,Otros,[],reverse-engineered responsive migration
Organized hybrid intranet,2023-06-03,2023-11-16,91247.27,0.7,social media,B2B,referral,0.0,579220.33,Otros,[],organized hybrid intranet
Streamlined intermediate core,2022-08-20,2024-02-18,59201.77,0.12,social media,B2B,promotion,0.65,784578.57,Otros,[],streamlined intermediate core
Re-contextualized regional pricing structure,2023-03-18,2024-06-29,93497.4,0.44,email,B2B,promotion,0.37,58328.0,Otros,[],re-contextualized regional pricing structure
Stand-alone client-driven challenge,2022-12-20,2023-10-06,18364.99,0.24,webinar,B2B,paid,0.85,433475.14,Usuario/Cliente,['PRIMARY: client'],stand-alone client-driven challenge
Reactive client-driven paradigm,2023-04-09,2023-10-02,63250.91,0.72,email,B2C,paid,0.76,32045.66,Usuario/Cliente,['PRIMARY: client'],reactive client-driven paradigm
Object-based composite info-mediaries,2023-05-04,2023-12-19,52277.41,0.79,webinar,B2C,promotion,0.84,838402.57,Otros,[],object-based composite info-mediaries
User-centric discrete algorithm,2022-09-17,2024-07-25,41022.86,0.64,email,B2B,promotion,0.53,553643.5,Usuario/Cliente,['PRIMARY: user'],user-centric discrete algorithm
Cloned discrete customer loyalty,2023-03-21,2023-10-11,69490.13,0.56,email,B2C,paid,0.5,690561.8,Usuario/Cliente,['PRIMARY: customer'],cloned discrete customer loyalty
Function-based motivating algorithm,2022-11-18,2024-05-08,16205.28,0.11,email,B2B,referral,0.86,632469.27,Otros,[],function-based motivating algorithm
Devolved local Graphic Interface,2023-01-04,2024-06-06,71575.57,0.58,email,B2C,promotion,0.81,295020.93,Otros,[],devolved local graphic interface
Synergized 24hour strategy,2022-09-13,2023-09-24,78034.3,0.9,podcast,B2B,paid,0.36,718941.54,Gestión/Management,['SECONDARY: strategy'],synergized 24hour strategy
Function-based exuding strategy,2023-04-30,2024-02-25,87156.45,0.4,social media,B2C,referral,0.99,95274.7,Gestión/Management,['SECONDARY: strategy'],function-based exuding strategy
Synergistic intermediate middleware,2023-07-22,2023-10-27,28984.24,0.1,webinar,B2C,paid,0.93,224410.83,Otros,[],synergistic intermediate middleware
Grass-roots 24/7 orchestration,2023-01-21,2024-06-25,39758.97,0.5,social media,B2C,promotion,0.56,81674.81,Otros,[],grass-roots 24/7 orchestration
Adaptive needs-based initiative,2023-06-04,2024-07-06,46618.3,0.72,email,B2C,organic,0.23,854112.83,Otros,[],adaptive needs-based initiative
Automated 5thgeneration attitude,2023-02-05,2024-06-03,96380.65,0.99,email,B2B,referral,0.18,35031.43,Tecnología/IT,['SECONDARY: automated'],automated 5thgeneration attitude
Mandatory secondary access,2022-08-03,2023-11-04,44406.38,0.17,email,B2B,promotion,0.21,438753.14,Otros,[],mandatory secondary access
Digitized analyzing paradigm,2022-09-28,2023-11-04,31010.8,0.5,email,B2B,referral,0.32,759445.2,Otros,[],digitized analyzing paradigm
Object-based intangible artificial intelligence,2023-03-27,2023-10-06,19288.56,0.5,webinar,B2B,promotion,0.44,138967.65,Otros,[],object-based intangible artificial intelligence
Proactive mission-critical structure,2022-11-18,2024-06-28,54317.78,0.9,social media,B2C,paid,0.35,190911.53,Otros,[],proactive mission-critical structure
Object-based grid-enabled model,2023-03-27,2023-08-30,41357.61,0.56,social media,B2B,paid,0.65,869961.43,Otros,[],object-based grid-enabled model
Seamless executive standardization,2022-11-26,2024-06-12,16261.19,0.49,webinar,B2C,referral,0.52,546988.28,Procesos/Metodología,[],seamless executive standardization
De-engineered homogeneous array,2022-10-11,2024-06-07,27126.77,0.3,webinar,B2C,promotion,0.79,725838.96,Otros,[],de-engineered homogeneous array
Inverse heuristic projection,2023-03-27,2023-12-10,97754.27,0.87,social media,B2C,organic,0.56,368164.25,Otros,[],inverse heuristic projection
Diverse asymmetric orchestration,2023-02-22,2023-08-02,86507.56,0.39,email,B2C,paid,0.4,468536.15,Otros,[],diverse asymmetric orchestration
Reactive zero tolerance core,2023-05-14,2024-07-29,75067.13,0.95,podcast,B2C,promotion,0.44,967358.1,Otros,[],reactive zero tolerance core
Reverse-engineered 24/7 help-desk,2023-01-19,2023-09-19,46839.92,0.65,social media,B2B,paid,0.28,168009.32,Otros,[],reverse-engineered 24/7 help-desk
Optimized 24hour budgetary management,2022-12-21,2024-02-25,73305.28,0.61,podcast,B2C,paid,0.48,776332.85,Gestión/Management,['PRIMARY: management'],optimized 24hour budgetary management
Inverse heuristic encryption,2023-07-07,2024-05-15,90612.4,0.15,email,B2B,organic,0.69,123571.95,Otros,[],inverse heuristic encryption
Realigned empowering initiative,2023-03-06,2024-03-31,18541.27,0.58,email,B2B,paid,0.71,783948.9,Otros,[],realigned empowering initiative
Reduced mobile matrices,2022-08-31,2024-02-17,73723.4,0.74,webinar,B2C,promotion,0.21,62558.41,Otros,[],reduced mobile matrices
Virtual motivating portal,2022-10-31,2024-07-28,60705.69,0.24,webinar,B2B,referral,0.19,575160.34,Otros,[],virtual motivating portal
Customizable executive task-force,2022-08-31,2024-02-10,14777.5,0.0,email,B2C,promotion,0.38,865674.86,Otros,[],customizable executive task-force
Optional 3rdgeneration open architecture,2023-07-16,2024-07-24,81086.35,0.27,podcast,B2C,organic,0.32,596689.85,Arquitectura/Infraestructura,['PRIMARY: architecture'],optional 3rdgeneration open architecture
Networked 6thgeneration neural-net,2022-11-08,2023-09-07,39534.14,0.94,social media,B2B,promotion,0.49,460143.5,Otros,[],networked 6thgeneration neural-net
Open-architected empowering database,2023-05-25,2023-12-26,63786.13,0.21,podcast,B2C,organic,0.43,91479.12,Otros,[],open-architected empowering database
Multi-channeled human-resource infrastructure,2023-05-30,2024-04-04,63889.54,0.77,webinar,B2C,paid,0.95,984610.31,Arquitectura/Infraestructura,['PRIMARY: infrastructure'],multi-channeled human-resource infrastructure
Distributed intangible software,2022-11-13,2023-11-27,14378.29,0.25,social media,B2B,organic,0.59,689799.85,Tecnología/IT,['PRIMARY: software'],distributed intangible software
Switchable clear-thinking challenge,2022-08-23,2023-08-16,57635.88,0.6,webinar,B2B,organic,0.16,192521.65,Otros,[],switchable clear-thinking challenge
Customizable 4thgeneration Internet solution,2022-11-14,2023-08-27,78080.7,0.86,social media,B2B,promotion,0.6,373181.87,Productos/Servicios,[],customizable 4thgeneration internet solution
Reduced zero tolerance policy,2023-01-28,2024-07-10,95263.32,0.4,podcast,B2B,promotion,0.33,352655.66,Otros,[],reduced zero tolerance policy
Profound real-time archive,2023-02-23,2023-12-02,54198.81,0.73,webinar,B2C,referral,0.4,784870.79,Otros,[],profound real-time archive
Inverse static support,2022-11-28,2024-03-22,65189.68,0.21,podcast,B2C,referral,0.5,816329.8,Otros,[],inverse static support
Total attitude-oriented support,2023-01-08,2024-06-29,85772.21,0.98,podcast,B2B,organic,0.86,755740.83,Otros,[],total attitude-oriented support
Persistent tangible methodology,2023-02-17,2024-07-25,85190.24,0.64,webinar,B2C,promotion,0.48,900744.98,Procesos/Metodología,"['PRIMARY: methodology', 'PATTERN: \\bmethod\\w*\\b']",persistent tangible methodology
Robust bi-directional hub,2022-11-01,2023-08-20,87931.71,0.56,email,B2C,referral,0.77,288613.62,Otros,[],robust bi-directional hub
Virtual content-based standardization,2022-08-23,2024-04-24,34658.91,0.27,social media,B2B,organic,0.59,596524.13,Procesos/Metodología,[],virtual content-based standardization
Programmable modular architecture,2023-01-12,2024-01-28,57845.8,0.9,podcast,B2C,paid,0.7,267847.44,Arquitectura/Infraestructura,['PRIMARY: architecture'],programmable modular architecture
Open-source zero administration extranet,2023-06-13,2024-01-13,65653.98,0.47,social media,B2C,paid,0.96,320630.54,Otros,[],open-source zero administration extranet
Total asymmetric emulation,2023-03-30,2024-03-15,69996.24,0.77,social media,B2C,paid,0.86,936284.24,Otros,[],total asymmetric emulation
Streamlined attitude-oriented adapter,2023-07-03,2024-07-18,2554.18,0.46,social media,B2B,referral,0.33,575092.19,Otros,[],streamlined attitude-oriented adapter
Operative demand-driven open system,2022-10-04,2023-10-08,11294.95,0.49,email,B2C,paid,0.95,390218.59,Tecnología/IT,[],operative demand-driven open system
Organic impactful approach,2023-07-08,2023-11-26,15971.25,0.94,email,B2B,organic,0.85,296134.8,Otros,[],organic impactful approach
Cloned leadingedge moderator,2022-11-11,2024-04-30,36838.48,0.3,email,B2B,referral,0.72,788871.83,Otros,[],cloned leadingedge moderator
Versatile well-modulated ability,2023-05-28,2024-03-21,24501.77,0.93,podcast,B2B,referral,0.87,788670.6,Otros,[],versatile well-modulated ability
Self-enabling zero tolerance synergy,2023-06-01,2024-05-07,49505.24,0.48,webinar,B2B,promotion,0.87,703788.18,Otros,[],self-enabling zero tolerance synergy
Polarized systematic parallelism,2023-01-03,2024-04-25,5479.95,0.0,social media,B2B,organic,0.62,775127.75,Otros,['SECONDARY: systematic'],polarized systematic parallelism
Sharable object-oriented algorithm,2023-01-26,2023-11-28,13686.9,0.26,podcast,B2B,referral,0.68,298349.71,Otros,[],sharable object-oriented algorithm
Progressive systematic architecture,2022-08-15,2024-01-11,7306.71,0.69,webinar,B2B,paid,0.97,541005.28,Arquitectura/Infraestructura,['PRIMARY: architecture'],progressive systematic architecture
Decentralized bi-directional forecast,2023-02-03,2023-11-18,96168.8,0.74,email,B2C,promotion,0.26,138002.71,Otros,[],decentralized bi-directional forecast
Multi-lateral coherent hardware,2023-03-20,2023-12-20,80398.7,0.68,social media,B2B,paid,0.77,556040.51,Tecnología/IT,['PRIMARY: hardware'],multi-lateral coherent hardware
Digitized fresh-thinking toolset,2023-07-23,2024-03-20,7171.11,0.23,podcast,B2C,referral,0.58,244491.62,Otros,[],digitized fresh-thinking toolset
Persistent fresh-thinking parallelism,2022-09-26,2024-07-24,40458.71,0.47,email,B2B,organic,0.6,748950.16,Otros,[],persistent fresh-thinking parallelism
Up-sized discrete superstructure,2023-04-08,2024-02-16,85035.31,0.35,webinar,B2C,referral,0.69,583929.45,Otros,[],up-sized discrete superstructure
Implemented next generation productivity,2022-08-16,2023-12-12,28881.52,0.83,email,B2B,referral,0.74,887826.15,Otros,[],implemented next generation productivity
Persistent radical approach,2022-10-23,2023-08-15,99891.35,0.8,email,B2C,promotion,0.91,8272.5,Otros,[],persistent radical approach
Robust dynamic circuit,2022-10-04,2024-04-29,35936.7,0.37,webinar,B2B,referral,0.13,575711.5,Otros,[],robust dynamic circuit
Assimilated cohesive contingency,2023-03-10,2024-07-22,52088.32,0.6,podcast,B2B,referral,0.46,85934.39,Otros,[],assimilated cohesive contingency
Distributed heuristic extranet,2022-08-27,2023-12-31,19258.46,0.61,podcast,B2C,promotion,0.22,828613.75,Otros,[],distributed heuristic extranet
Public-key optimizing open architecture,2023-04-01,2023-11-13,35095.84,0.7,social media,B2C,paid,0.26,153946.14,Arquitectura/Infraestructura,['PRIMARY: architecture'],public-key optimizing open architecture
Self-enabling secondary methodology,2022-09-22,2024-04-16,89591.74,0.22,podcast,B2C,promotion,0.16,707937.27,Procesos/Metodología,"['PRIMARY: methodology', 'PATTERN: \\bmethod\\w*\\b']",self-enabling secondary methodology
Multi-channeled intermediate project,2023-07-10,2024-06-11,30866.33,0.4,webinar,B2C,paid,0.51,487045.64,Otros,[],multi-channeled intermediate project
Re-engineered 24/7 benchmark,2022-10-07,2023-08-02,60761.56,0.6,podcast,B2C,paid,0.46,560912.6,Otros,[],re-engineered 24/7 benchmark
Automated 6thgeneration solution,2023-04-10,2023-08-27,82351.52,0.99,podcast,B2C,organic,0.27,470489.22,Productos/Servicios,['SECONDARY: automated'],automated 6thgeneration solution
Persevering asymmetric orchestration,2022-10-23,2024-03-12,68860.82,0.33,webinar,B2C,organic,0.82,360686.83,Otros,[],persevering asymmetric orchestration
Enhanced web-enabled knowledge user,2023-04-24,2024-05-25,71941.12,0.99,webinar,B2C,referral,0.67,793615.75,Usuario/Cliente,['PRIMARY: user'],enhanced web-enabled knowledge user
Multi-tiered fresh-thinking monitoring,2023-01-31,2024-01-23,92487.68,0.5,social media,B2C,organic,0.48,539681.9,Otros,[],multi-tiered fresh-thinking monitoring
Cloned background ability,2023-05-08,2023-08-05,6690.98,0.95,podcast,B2C,referral,0.6,419310.48,Otros,[],cloned background ability
Up-sized bifurcated budgetary management,2023-06-21,2024-03-29,65932.3,0.46,email,B2B,paid,0.64,868615.57,Gestión/Management,['PRIMARY: management'],up-sized bifurcated budgetary management
Virtual methodical projection,2022-08-28,2023-08-03,2939.44,0.23,podcast,B2B,referral,0.34,517886.3,Otros,"['SECONDARY: methodical', 'PATTERN: \\bmethod\\w*\\b']",virtual methodical projection
Configurable 6thgeneration approach,2023-07-20,2023-08-05,89898.65,0.51,social media,B2C,paid,0.94,940644.5,Otros,[],configurable 6thgeneration approach
Networked zero administration hardware,2023-06-18,2024-01-12,79330.1,0.6,webinar,B2C,promotion,0.6,993317.73,Tecnología/IT,['PRIMARY: hardware'],networked zero administration hardware
Integrated dedicated solution,2023-04-25,2023-09-26,49871.16,0.59,webinar,B2B,promotion,0.13,753551.91,Productos/Servicios,[],integrated dedicated solution
Managed coherent Local Area Network,2022-08-22,2024-07-09,86898.8,0.2,email,B2B,paid,0.63,627464.79,Red/Conectividad,['PRIMARY: network'],managed coherent local area network
Assimilated bifurcated policy,2023-07-12,2024-06-07,88219.78,0.56,podcast,B2C,organic,0.9,385119.98,Otros,[],assimilated bifurcated policy
Intuitive secondary initiative,2023-07-21,2023-10-02,40691.9,0.87,email,B2C,organic,0.5,924409.28,Otros,[],intuitive secondary initiative
Reverse-engineered bandwidth-monitored encoding,2023-04-13,2023-12-22,72683.1,0.37,social media,B2B,paid,0.71,778626.74,Red/Conectividad,['SECONDARY: bandwidth'],reverse-engineered bandwidth-monitored encoding
Adaptive 24/7 open architecture,2023-04-28,2024-04-26,11646.16,0.8,email,B2B,organic,0.81,13324.2,Arquitectura/Infraestructura,['PRIMARY: architecture'],adaptive 24/7 open architecture
